Company
ADMIRAL GROUP
DIRECT LINE INSU
SABRE INSUR
SAGA PLC
AGEAS
ALLIANZ SE-REG
AXA
ZURICH INSURANCE
GENERALI ASSIC
BEAZLEY PLC
HISCOX LTD
LANCASHIRE HOLDI
Society of Lloyd’s
AMERICAN INTERNA
AXIS CAPITAL
TRAVELERS COS IN
ARCH CAPITAL GRP
RENAISSANCERE
EVEREST RE GROUP
MARKEL CORP
HARTFORD FINL SV
ARGO GROUP INTER
BERKSHIRE HATH-B
CHUBB LTD
SCOR SE
MUENCHENER RUE-R
SWISS RE AG
HANNOVER RUECK S
TOKIO MARINE HD
SOMPO HOLDINGS I
MS&AD INSURANCE
QBE INSURANCE
ENSTAR GROUP LTD
FAIRFAX FINL HLD
RANDALL & QUILTE
PRUDENTIAL PLC
M&G PLC
LEGAL & GEN GRP
AVIVA PLC
PHOENIX GROUP HO
QUILTER PLC
JUST GROUP
ST JAMES'S PLACE
AEGON NV
DISCOVERY LTD
SANLAM LTD
STOREBRAND ASA
CNP ASSURANCES
GJENSIDIGE FORSI
POSTE ITALIANE
NN GROUP
TOPDANMARK A/S
BALOISE HOL-REG
SAMPO OYJ-A SHS
MAPFRE SA
TRYG A/S
ASR NEDERLAND NV
HELVETIA HOL-REG
INTACT FINANCIAL
